project_id,sprint_id,team_size,sprint_duration_days,planned_story_points,completed_story_points,velocity,num_stories,avg_story_complexity,defect_count,scope_change_ratio,team_experience_months,tech_debt_hours,meeting_overhead_hours,effort_hours,cost_usd,data_source,quality_score,label_confidence,sample_weight
SYN_00000,0,12.0,10.0,25.777759985944655,11.515600008574985,23.16635319256157,4,1.8342753441154669,1,0.0,85.49995531276748,5.781161559382773,4.570887041864711,78.21875049902091,3930.940570711795,synthetic,1.0,1.0,1.0
SYN_00000,1,12.0,10.0,25.119616776547026,12.87396445251709,24.020291181822728,4,2.744263026914159,1,0.0,85.83328864610081,8.690067585507723,6.9380346704559965,112.40988777217089,5250.45890368629,synthetic,1.0,1.0,1.0
SYN_00000,2,12.0,10.0,21.788688312465936,13.862816577796613,23.955935869909197,3,2.6237018765657636,1,0.0,86.16662197943415,36.005923945766654,5.005050795984411,138.38356113037335,6214.4132133787825,synthetic,1.0,1.0,1.0
SYN_00000,3,12.0,10.0,28.681037377957647,18.205943255397717,26.831919285674548,4,2.4888977214053263,1,0.0,86.49995531276748,24.753096346859934,3.0310794190759274,137.67101754081654,6040.794474148724,synthetic,1.0,1.0,1.0
SYN_00000,4,12.0,10.0,35.36543391118897,23.930567616178543,29.157899653454496,5,2.779886199018653,0,0.29028197049037374,86.83328864610081,11.766940854251597,3.2496424952677105,146.16741455867313,5967.23751433694,synthetic,0.3,0.3,0.3
SYN_00000,5,12.0,10.0,34.370325464699135,27.649968987347037,31.790856127936653,5,4.1959530489875165,1,0.0,87.16662197943415,26.4451342844653,9.325663184756504,349.6905923638453,20371.054479597817,synthetic,1.0,1.0,1.0
SYN_00000,6,12.0,10.0,31.0956020082415,27.302863813753305,32.30762029208629,5,2.3073351074454056,1,0.0,87.49995531276748,11.379882837208875,8.94178097309477,292.7098864955729,8344.646937780375,synthetic,1.0,1.0,1.0
SYN_00000,7,12.0,10.0,37.209194918476626,30.657894438813695,36.04799809603049,6,3.7746226836731847,1,0.0,87.83328864610081,34.8810402033582,7.437891363437396,295.1171144286658,11952.951683190995,synthetic,1.0,1.0,1.0
SYN_00000,8,12.0,10.0,41.367993320121336,33.66495039022429,41.01488097991633,6,1.6537041827073562,2,0.0,88.16662197943415,24.073951104798123,4.3142637225085405,214.23058744238733,5789.593954814282,synthetic,1.0,1.0,1.0
SYN_00000,9,12.0,10.0,47.28444996579004,38.775221011890736,44.37526341306371,7,2.73209197601138,1,0.0,88.49995531276748,21.26011696736804,9.37806991690361,294.07238310744543,16693.194306994377,synthetic,1.0,1.0,1.0
SYN_00001,0,6.0,7.0,40.48560845423007,20.596111296414456,38.75677639724336,8,3.941929511182155,2,0.0,60.98259181149063,18.49606357190304,1.5407503753687686,149.52209689691816,21122.606551094646,synthetic,1.0,1.0,1.0
SYN_00001,1,6.0,7.0,49.76294302913242,31.099628780380332,51.287464468734925,10,3.351269343143661,1,0.0,61.21592514482396,16.00825584285021,1.607855601477295,447.65962441229135,61434.099002538445,synthetic,1.0,1.0,1.0
SYN_00001,2,6.0,7.0,58.00596077440998,37.918675261954405,62.86864366894618,11,4.3951476209342335,1,0.0,61.4492584781573,20.784431754857795,1.9183160984770018,367.8650438823188,43419.631965579385,synthetic,1.0,1.0,1.0
SYN_00001,3,6.0,7.0,74.1657377393405,46.14883634323408,77.88351650121345,15,3.351194526990639,2,0.0,61.68259181149063,5.752600636727562,2.379688618532303,379.66250981156,52277.00449230271,synthetic,1.0,1.0,1.0
SYN_00001,4,6.0,7.0,100.47383715882333,60.54758953428927,93.90355408385481,20,3.662390541437647,5,0.0,61.91592514482396,18.26781558579949,2.4392653758940224,574.2587946882148,91683.11233454925,synthetic,0.3,0.3,0.3
SYN_00001,5,6.0,7.0,108.82174207979718,84.35611491850524,100.4090361269404,28,2.7627432371722334,6,0.2815587528305198,62.14925847815729,6.569696202768329,1.8777634593956367,626.4948804824515,81116.03357071374,synthetic,0.3,0.3,0.3
SYN_00001,6,6.0,7.0,108.82174207979718,93.22818932108721,100.87126346529287,23,3.0532366526873638,7,0.19913582518054335,62.38259181149063,8.248389028464485,1.8701334357603165,627.4714576554044,82502.58013093502,synthetic,0.3,0.3,0.3
SYN_00001,7,6.0,7.0,76.59715063565126,81.42729004354216,90.21215662835333,15,2.4420609413597782,4,0.0,62.61592514482396,17.733941461276164,1.3884238872763441,585.270412689687,73347.37551364362,synthetic,1.0,1.0,1.0
SYN_00001,8,6.0,7.0,81.45803380874978,68.18521316523073,84.98705482518207,16,3.7916671476758825,3,0.0,62.849258478157296,23.572423353811526,2.322531745990701,466.1678015603468,47676.34251927389,synthetic,1.0,1.0,1.0
SYN_00001,9,6.0,7.0,80.14514730473398,69.91547380549329,78.79085757713752,16,2.0573571015081074,5,0.0,63.08259181149063,15.609341889104702,1.6389430965194394,452.6165308932286,65160.380956239795,synthetic,1.0,1.0,1.0
SYN_00001,10,6.0,7.0,74.37276498097977,67.33525168504076,74.51360501287368,15,3.625880273934129,4,0.0,63.315925144823964,3.577206803811985,0.9308707823789566,719.0432060243336,123507.58928833419,synthetic,0.3,0.3,0.3
SYN_00001,11,6.0,7.0,69.04268335610662,58.77838792153948,70.83643489378248,14,2.8474791539958724,2,0.0,63.5492584781573,15.712273750434708,1.8943681112752884,549.0253306889697,49391.488606186416,synthetic,1.0,1.0,1.0
SYN_00001,12,6.0,7.0,76.21455861133015,60.19001714386113,69.99080825192094,15,3.9369976747738553,3,0.0,63.782591811490626,3.3147719141316094,2.034814341227229,537.4379222367292,76199.84957331585,synthetic,1.0,1.0,1.0
SYN_00001,13,6.0,7.0,84.57997348433727,69.26914006391026,76.38645322477261,17,3.600695190985008,3,0.0,64.01592514482397,21.49754736552325,1.4084940278746116,600.272704023869,85378.1266476617,synthetic,1.0,1.0,1.0
SYN_00001,14,6.0,7.0,89.91919990936859,76.66209696566094,81.03240570434974,18,4.456516926117441,2,0.0,64.2492584781573,17.726890958173406,2.2825939914677313,615.023399067305,92330.79022722799,synthetic,0.3,0.3,0.3
SYN_00001,15,6.0,7.0,101.6024556311113,84.95747353359059,82.62513225946843,20,3.584619752910916,3,0.22413386956962986,64.48259181149064,6.139561482726069,2.2657451890884404,636.5324316771001,95949.6177102078,synthetic,0.3,0.3,0.3
SYN_00001,16,6.0,7.0,68.97954196645804,73.38242155476738,78.27691044841164,14,1.7423677954774073,4,0.0,64.71592514482396,4.381173725802678,2.609045496398136,499.16097829549744,53713.262637166845,synthetic,1.0,1.0,1.0
SYN_00001,17,6.0,7.0,55.94213577120076,58.88378323221617,68.2922862298756,11,2.9464374616814393,2,0.0,64.94925847815729,6.3643177438148895,2.4728301751470494,539.405754083937,85521.61564309997,synthetic,0.3,0.3,0.3
